run_label,strategy,instrument,timeframe,signal_datetime,direction,entry_price,stop_loss,tp_2r,tp_4r,risk_pips,result,rr_achieved,exit_datetime,pfvg_high,pfvg_low,ofl_probability,ofl_swing_price,fva_high,fva_low,fvg_in_high,fvg_in_low,fvg_out_high,fvg_out_low,candles_to_form_fvg_out,context_target,ofl_1_swing,ofl_2_swing,checklist_passed,conditions_met
S1 | EURUSD | H4,OFL_CONTINUATION,EURUSD,H4,2010-04-23 16:00:00,BEARISH,1.33817,1.33995,,,17.80000,LOSS,-1.00000,2010-04-26 20:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H4,OFL_CONTINUATION,EURUSD,H4,2010-05-10 04:00:00,BEARISH,1.29923,1.27701,,,222.20000,LOSS,-1.00000,2010-05-10 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H4,OFL_CONTINUATION,EURUSD,H4,2010-05-10 08:00:00,BEARISH,1.30173,1.30918,,,74.50000,WIN,6.69000,2010-05-13 20:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H4,OFL_CONTINUATION,EURUSD,H4,2010-05-20 04:00:00,BEARISH,1.23461,1.24373,,,91.20000,LOSS,-1.00000,2010-05-20 16:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H4,OFL_CONTINUATION,EURUSD,H4,2010-05-21 04:00:00,BEARISH,1.26303,1.26704,,,40.10000,WIN,8.36000,2010-05-25 00:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H4,OFL_CONTINUATION,EURUSD,H4,2010-05-26 04:00:00,BULLISH,1.22882,1.22594,,,28.80000,LOSS,-1.00000,2010-05-26 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H4,OFL_CONTINUATION,EURUSD,H4,2010-05-28 00:00:00,BULLISH,1.23123,1.22784,,,33.90000,LOSS,-1.00000,2010-05-28 16:00:00,,,LOW,,,,,,,,,,,,,
S1 | EURUSD | H4,OFL_CONTINUATION,EURUSD,H4,2010-06-02 08:00:00,BEARISH,1.22447,1.22718,,,27.10000,LOSS,-1.00000,2010-06-03 00:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H4,OFL_CONTINUATION,EURUSD,H4,2010-06-08 08:00:00,BULLISH,1.19299,1.18989,,,31.00000,WIN,12.79000,2010-06-15 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H4,OFL_CONTINUATION,EURUSD,H4,2010-06-10 00:00:00,BULLISH,1.19792,1.19543,,,24.90000,WIN,13.94000,2010-06-15 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H4,OFL_CONTINUATION,EURUSD,H4,2010-06-14 12:00:00,BEARISH,1.22758,1.22997,,,23.90000,LOSS,-1.00000,2010-06-15 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H4,OFL_CONTINUATION,EURUSD,H4,2010-06-28 16:00:00,BULLISH,1.23007,1.22631,,,37.60000,LOSS,-1.00000,2010-06-29 00:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H4,OFL_CONTINUATION,EURUSD,H4,2010-08-06 08:00:00,BULLISH,1.31802,1.31543,,,25.90000,WIN,2.11000,2010-08-06 12:00:00,,,LOW,,,,,,,,,,,,,
S1 | EURUSD | H4,OFL_CONTINUATION,EURUSD,H4,2010-08-30 12:00:00,BULLISH,1.26783,1.26750,,,3.30000,LOSS,-1.00000,2010-08-30 16:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H4,OFL_CONTINUATION,EURUSD,H4,2010-08-31 16:00:00,BULLISH,1.26663,1.26587,,,7.60000,WIN,14.76000,2010-09-01 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H4,OFL_CONTINUATION,EURUSD,H4,2010-09-08 12:00:00,BEARISH,1.27326,1.27628,,,30.20000,LOSS,-1.00000,2010-09-09 12:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H4,OFL_CONTINUATION,EURUSD,H4,2010-09-20 04:00:00,BEARISH,1.30945,1.31203,,,25.80000,LOSS,-1.00000,2010-09-21 08:00:00,,,MEDIUM,,,,,,,,,,,,,
S1 | EURUSD | H4,OFL_CONTINUATION,EURUSD,H4,2010-09-20 12:00:00,BULLISH,1.30494,1.30313,,,18.10000,WIN,6.04000,2010-09-21 16:00:00,,,LOW,,,,,,,,,,,,,
