datetime,hour_of_day,day_of_week,month,quarter,london_session,ny_session,asian_session,direction,ofl_probability,risk_pips,rr_to_erl,rr_to_erl_capped,range_size_pips,position_in_range,distance_from_eq_pips,erl_distance_pips,fvg_size_pips,avg_candle_body_pips,avg_range_pips,directional_momentum,volatility_ratio,dist_to_equilibrium,is_in_discount,win,rr_achieved,momentum_class
2024-11-19 07:45:00,7,1,11,4,0,0,1,1,2,18602.00000000077,3.7791635308028457,3.7791635308028457,30100.000000002183,0.5448504983389397,1350.0000000021828,70299.99999999745,4800.000000000182,11269.999999999982,20531.000000000404,-4,1.1657517966630404,1350.0000000021828,0,1,3.7791635308028457,1
2024-11-19 07:45:00,7,1,11,4,0,0,1,1,2,16402.000000002772,4.286062675282622,4.286062675282622,30100.000000002183,0.5448504983389397,1350.0000000021828,70299.99999999745,4800.000000000182,11269.999999999982,20531.000000000404,-4,1.1657517966630404,1350.0000000021828,0,1,4.286062675282622,1
2024-11-19 10:00:00,10,1,11,4,1,0,0,0,2,5898.000000001957,24.974567650042605,10.0,48899.99999999873,0.595092024539863,4649.999999996908,147300.00000000017,5700.000000001637,11889.999999999873,27119.99999999989,2,1.2454327583685856,4649.999999996908,0,0,-1.0,0
2024-11-19 10:00:00,10,1,11,4,1,0,0,0,2,19801.99999999968,7.438642561357567,7.438642561357567,48899.99999999873,0.595092024539863,4649.999999996908,147300.00000000017,5700.000000001637,11889.999999999873,27119.99999999989,2,1.2454327583685856,4649.999999996908,0,0,-1.0,0
2024-11-19 13:50:00,13,1,11,4,1,0,0,0,2,29201.999999995678,2.6700226011921036,2.6700226011921036,38899.99999999873,1.0565552699229466,21650.000000004184,77970.00000000026,22470.000000002983,17589.999999999236,31927.00000000059,-4,1.5547109268463144,21650.000000004184,0,1,2.6700226011921036,1
2024-11-19 15:15:00,15,1,11,4,0,1,0,1,2,32701.999999999316,4.232157054614391,4.232157054614391,86599.99999999854,0.3775981524249465,10599.999999999454,138399.99999999691,3699.9999999989086,17970.000000001164,33077.99999999998,0,1.034557704816716,10599.999999999454,1,0,-1.0,0
2024-11-19 15:35:00,15,1,11,4,0,1,0,1,2,29101.999999998043,6.06831145625766,6.06831145625766,36199.99999999891,-0.8453038674033253,48699.99999999891,176599.99999999854,40900.000000001455,18360.000000000582,32391.999999999825,0,1.0412847400149896,48699.99999999891,1,1,6.06831145625766,2
2024-11-19 18:35:00,18,1,11,4,0,1,0,0,2,14801.99999999968,4.958789352790369,4.958789352790369,34400.000000000546,0.5697674418604667,2400.0000000023647,73400.00000000146,9270.000000001346,4833.999999999833,13948.999999999614,-6,1.1347429775447908,2400.0000000023647,0,0,-1.0,0
2024-11-19 20:10:00,20,1,11,4,0,0,0,0,2,13631.999999997788,7.849178403757342,7.849178403757342,11199.999999998909,1.1785714285716895,7600.000000002183,107000.00000000274,2300.000000000182,5549.999999999727,10879.999999999654,2,1.0319749724916427,7600.000000002183,0,0,-1.0,0
2024-11-19 20:50:00,20,1,11,4,0,0,0,0,2,26501.99999999586,5.003395970116327,5.003395970116327,15099.999999997635,2.251655629139486,26449.999999999818,132600.00000000218,20100.000000002183,5281.000000000404,9310.999999999694,4,0.828741860495828,26449.999999999818,0,0,-1.0,0
2024-11-20 01:35:00,1,2,11,4,0,0,1,0,2,20801.99999999877,8.40784539948143,8.40784539948143,42399.99999999782,0.6603773584906429,6800.00000000291,174900.00000000236,14500.000000002728,9650.99999999984,19840.0000000006,0,1.8882387159505245,6800.00000000291,0,0,-1.0,0
2024-11-20 01:35:00,1,2,11,4,0,0,1,0,2,14401.999999995496,12.144146646303087,10.0,42399.99999999782,0.6603773584906429,6800.00000000291,174900.00000000236,14500.000000002728,9650.99999999984,19840.0000000006,0,1.8882387159505245,6800.00000000291,0,0,-1.0,0
2024-11-20 05:40:00,5,2,11,4,0,0,1,0,2,9872.000000000298,16.94995948136109,10.0,23999.999999996362,1.0666666666668057,13600.000000001273,167330.00000000175,329.99999999901775,5061.999999999443,12204.999999999472,2,1.1783004193638724,13600.000000001273,0,1,10.0,2
2024-11-20 08:00:00,8,2,11,4,0,0,1,1,2,20701.999999996588,10.066660226066844,10.0,23599.999999996726,-0.9957627118646991,35300.000000002,208400.00000000146,7000.0000000027285,10303.000000000338,19690.00000000051,-2,1.4124000414679494,35300.000000002,1,1,10.0,2
2024-11-20 11:35:00,11,2,11,4,1,0,0,1,2,15001.999999999498,12.55832555659297,10.0,38400.000000001455,0.3906249999999852,4200.000000000728,188400.00000000146,5500.000000001819,8490.000000000236,16999.999999999545,2,1.6205473168249536,4200.000000000728,1,1,10.0,2
2024-11-20 13:40:00,13,2,11,4,1,0,0,1,2,15401.999999999134,4.161797169198945,4.161797169198945,40999.99999999909,-0.25853658536584606,31099.999999996726,64099.999999998545,4400.000000000546,11023.999999999432,23909.9999999994,4,1.6114335043110652,31099.999999996726,1,0,-1.0,0
2024-11-20 13:40:00,13,2,11,4,1,0,0,1,2,25991.99999999655,2.0587103724226004,2.0587103724226004,40999.99999999909,-0.0002439024390740851,20509.99999999931,53510.00000000113,10210.000000001855,11023.999999999432,23909.9999999994,4,1.6114335043110652,20509.99999999931,1,0,-1.0,0
2024-11-20 14:15:00,14,2,11,4,1,0,0,1,2,25001.999999999498,2.0826333893288473,2.0826333893288473,52759.9999999984,0.4738438210765875,1379.9999999991996,52069.9999999988,1669.9999999991633,12960.999999999785,24983.999999999924,0,1.5697649617552778,1379.9999999991996,1,1,2.0826333893288473,1
2024-11-20 19:35:00,19,2,11,4,0,1,0,0,2,9101.999999998043,6.8226763348729635,6.8226763348729635,19290.000000000873,1.1353032659408788,12255.00000000011,62100.000000000364,4600.000000000364,5951.000000000022,12941.999999999553,4,1.2293070782227737,12255.00000000011,0,0,-1.0,0
2024-11-20 20:00:00,20,2,11,4,0,0,0,1,2,9331.999999999425,2.974710672953291,2.974710672953291,37089.99999999833,0.2515502830951833,9214.999999999236,27759.9999999984,15160.000000000764,7833.999999999378,12535.999999999603,0,0.6474151469087854,9214.999999999236,1,0,-1.0,0
2024-11-21 02:05:00,2,3,11,4,0,0,1,0,2,27501.999999999498,3.752454366955093,3.752454366955093,53099.999999999454,1.0979284369114855,31750.00000000182,103199.99999999709,7599.999999997635,8210.000000000491,19177.000000000135,-2,1.5030743431243871,31750.00000000182,0,0,-1.0,0
2024-11-21 05:10:00,5,3,11,4,0,0,1,1,2,8002.000000001317,3.6240939765048226,3.6240939765048226,12669.999999998254,-0.318074191002248,10364.999999997053,28999.999999996362,3099.9999999994543,3433.999999999287,7906.999999999243,0,2.504164033944102,10364.999999997053,1,0,-1.0,0
2024-11-21 05:20:00,5,3,11,4,0,0,1,1,2,14471.999999996115,2.9505251520184688,2.9505251520184688,12669.999999998254,-1.399368587214193,24065.00000000051,42699.99999999982,2800.000000002001,5740.999999999531,9836.999999999534,-2,1.5904354500836586,24065.00000000051,1,1,2.9505251520184688,1
2024-11-21 09:55:00,9,3,11,4,0,0,1,0,2,38601.999999996224,3.4402362571891354,3.4402362571891354,37409.999999999854,1.1737503341352828,25205.000000000837,132800.000000002,12570.000000000618,11236.000000000331,21764.999999999873,-4,0.8784529142539013,25205.000000000837,0,0,-1.0,0
2024-11-21 10:35:00,10,3,11,4,1,0,0,0,2,18601.999999996224,8.214170519300776,8.214170519300776,26600.000000003092,1.203007518796955,18699.99999999891,152800.000000002,17670.0000000028,10534.000000000106,21981.00000000113,2,1.1476839736882847,18699.99999999891,0,0,-1.0,0
2024-11-21 12:50:00,12,3,11,4,1,0,0,0,2,12301.99999999968,9.396846041294298,9.396846041294298,28399.999999996908,0.5669014084506506,1899.9999999959982,115599.99999999945,999.9999999990905,14125.999999999294,21480.999999999312,0,0.5452974840436869,1899.9999999959982,0,0,-1.0,0
